x,y,motor1,motor2,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
16,24,147.432,149.061,15.0121,76.3309,24.9587,89.4968,105.881,133.277
16,25,147.5,148.543,13.2821,44.8106,22.0404,64.3806,64.1634,78.8908
16,26,148.082,148.547,11.8906,23.4781,19.8703,44.1824,35.3111,40.5385
16,27,148.397,148.604,11.2743,14.803,18.9222,35.2379,23.5306,24.8341
16,28,147.223,147.372,11.0359,12.6741,18.4904,32.7266,20.6776,21.0571
16,29,140.738,140.975,10.6035,12.6039,17.7535,31.9627,21.0209,21.1618
17,0,0.891238,-0.884975,0.0830921,0.0794137,0.119219,0.18229,1.51292,1.5155
17,1,2.99858,-2.98604,0.259866,0.242589,0.39125,0.629414,5.09772,5.09292
17,2,6.9503,-6.89595,0.599479,0.563888,0.891679,1.44567,11.8048,11.8124
17,3,13.4035,-12.5248,1.15235,1.08103,1.71706,2.78427,22.7779,22.7779
17,4,22.8929,-18.6965,1.95686,1.83477,2.90831,4.73711,38.9169,38.9146
17,5,37.133,-24.4784,3.14716,2.952,4.69855,7.65561,63.128,63.1299
17,6,57.491,-27.8332,4.85226,4.53365,7.25215,11.8194,97.7362,97.7326
17,7,83.1355,-21.929,7.05149,6.54807,10.5553,17.4106,141.328,141.138
17,8,108.918,-4.99864,9.19176,8.5122,13.8063,22.7176,185.159,184.555
17,9,130.325,28.9954,10.9003,10.0751,16.4646,27.9214,221.558,220.718
17,10,143.491,75.8993,11.8366,11.5816,18.0181,30.3786,243.989,243.157
17,11,148.738,116.824,12.126,11.6933,18.5984,31.132,252.815,252.383
17,12,149.863,138.301,12.3391,11.8189,19.0298,31.745,254.66,254.481
17,13,149.975,145.837,13.1028,12.3005,20.0038,33.2122,254.878,254.718
17,14,149.984,148.505,15.5882,13.4887,22.3185,36.6826,254.895,254.702
17,15,149.995,149.782,21.2652,15.3069,26.6044,42.2924,254.955,254.837
17,16,150,150,25,16,28,43,255,255
17,17,150,150,14,14,29,50,255,255
17,18,149.972,149.93,15.756,19.5955,28.5354,51.0096,254.459,253.064
17,19,149.735,149.606,15.8528,49.7731,27.5326,61.7898,249.193,240.165
17,20,149.401,149.424,15.4894,81.6409,26.9417,72.1205,238.674,221.222
17,21,149.085,149.437,15.4071,93.1536,26.6106,77.957,222.865,199.552
17,22,148.789,149.582,15.3517,86.7215,25.993,79.7196,198.183,171.348
17,23,148.582,149.554,14.8268,69.696,24.652,74.6535,159.882,133.531
17,24,148.642,149.445,13.6031,46.8853,22.4879,61.0398,106.471,86.9328
17,25,149.162,149.525,12.1039,24.8302,20.1764,43.619,52.3488,43.2115
17,26,149.807,149.871,11.2017,12.6331,18.9408,32.8321,23.0863,20.4893
17,27,149.975,149.981,11.0185,10.2419,18.6824,30.5539,17.5271,16.385
17,28,149.955,149.958,11.0061,10.1049,18.3409,29.7726,16.2591,16.1693
17,29,148.772,148.798,10.9547,10.4033,18.2547,29.9893,17.1846,16.7366
18,0,0.628731,-0.616283,0.0554664,0.0550895,0.084532,0.134732,1.06888,1.06261
18,1,2.1547,-2.14563,0.191441,0.180308,0.277721,0.452189,3.66951,3.66636
18,2,5.09432,-5.03504,0.448326,0.416238,0.65752,1.06205,8.66753,8.66144
18,3,10.0112,-8.97988,0.862049,0.807837,1.28624,2.08706,17.0202,17.0202
18,4,17.4583,-12.6247,1.49258,1.39298,2.21769,3.61444,29.6757,29.6776
18,5,29.1702,-14.6568,2.44446,2.30371,3.67044,5.99529,49.5837,49.5829
18,6,47.1187,-12.7781,3.93165,3.68047,5.90129,9.63215,80.0978,80.0961
18,7,71.8928,-0.00631762,6.014,5.59184,9.05576,14.9813,122.218,122.013
18,8,99.8997,25.6476,8.27365,7.66845,12.5017,20.6267,169.828,169.116
18,9,126.224,67.7762,10.2754,9.50912,15.6222,26.4538,214.586,213.585
18,10,143.474,114.661,11.3898,10.9692,17.4648,29.2746,243.912,243.049
18,11,149.291,141.852,11.5651,10.9257,17.9324,29.8156,253.777,253.499
18,12,149.977,148.633,11.5195,10.9296,18.1722,30.091,254.947,254.868
18,13,149.999,149.696,11.6269,11.379,18.8053,31.0751,254.992,254.935
18,14,149.999,149.913,12.1814,12.0128,19.6698,32.5247,254.994,254.93
18,15,149.998,149.92,16.2804,13.5162,23.0183,37.2685,254.981,254.744
18,16,149.998,149.968,20.1888,15.1012,27.0547,43.4894,254.976,254.555
18,17,149.996,149.971,17.2358,15.1589,28.146,47.2217,254.929,253.603
18,18,149.964,149.877,16.3074,19.0024,27.8168,48.9579,254.268,244.619
18,19,149.84,149.661,16.1112,31.3913,26.9548,52.7323,251.081,214.215
18,20,149.68,149.553,15.9236,43.9018,26.3304,56.5932,244.812,175.943
18,21,149.535,149.597,15.6681,49.4804,25.6678,58.3886,234.411,144.259
18,22,149.389,149.716,15.1989,48.0088,24.6614,57.8164,215.181,116.717
18,23,149.244,149.674,14.3693,40.8027,23.2189,54.0039,178.659,88.4955
18,24,149.307,149.664,13.1058,29.2052,21.3544,46.0447,118.949,57.2103
18,25,149.686,149.824,11.7544,16.8425,19.5586,36.1554,53.4201,29.0623
18,26,149.982,149.991,11.0615,10.5344,18.8488,31.0255,20.351,16.8706
18,27,150,150,11,10,19,31,18,16
18,28,150,150,11,10,18,29,15,16
18,29,149.809,149.812,10.9948,10.0675,18.2054,29.4828,16.0406,16.1131
19,0,0.431977,-0.418615,0.0370026,0.0414713,0.0566067,0.092237,0.731728,0.725944
19,1,1.51182,-1.50063,0.134106,0.132349,0.200088,0.319893,2.57055,2.56738
19,2,3.65547,-3.58847,0.322506,0.298978,0.475245,0.768881,6.20396,6.2061
19,3,7.36535,-6.23501,0.638429,0.597147,0.941709,1.53407,12.5231,12.5271
19,4,13.2443,-8.05399,1.12481,1.05418,1.67445,2.73361,22.5214,22.52
