x,y,motor1,motor2,sensor1,sensor2,sensor3,sensor4,sensor5,sensor6
6,1,2.31496,7.75154,0.591756,0.54966,0.961171,1.54845,0.806921,6.28581
6,2,5.50108,13.9862,1.0798,1.01801,1.75572,3.43909,1.57029,10.6947
6,3,10.8644,23.0854,1.85011,2.61376,2.99815,6.53381,2.54309,16.8735
6,4,20.8252,37.6065,3.03113,4.25054,4.9419,12.2464,7.25564,27.5189
6,5,38.8342,60.1173,4.84829,8.25849,7.9137,18.5924,20.4474,40.2785
6,6,62.548,87.0087,7.03827,11.1172,11.475,25.4921,37.1176,52.1128
6,7,86.0936,111.141,8.94825,13.4838,14.6067,31.2458,48.6678,59.7327
6,8,107.164,129.679,10.405,15.0951,17.0127,35.1994,57.3142,61.8152
6,9,122.385,140.832,11.2752,16.1334,18.4595,37.3431,65.3664,60.499
6,10,131.521,146.063,11.8144,17.3446,19.2881,38.8333,79.421,61.2099
6,11,136.961,148.226,12.3375,19.3031,19.958,40.5751,106.829,67.3381
6,12,141.114,149.121,12.9898,21.5792,20.7052,42.2133,148.143,77.9828
6,13,144.676,149.493,13.7175,22.9153,21.5301,42.8242,191.336,89.4638
6,14,147.264,149.675,14.4526,22.6339,22.4258,42.4627,223.01,100.838
6,15,148.769,149.776,15.1857,21.1844,23.3984,41.9555,240.81,113.934
6,16,149.492,149.831,15.7802,19.3725,24.1938,41.5691,249.16,129.678
6,17,149.786,149.846,15.9018,17.6506,24.2453,40.6448,252.537,150.923
6,18,149.898,149.825,15.2553,15.8575,23.1586,38.39,253.851,181.598
6,19,149.945,149.782,14.0227,14.0149,21.3552,35.2379,254.445,213.218
6,20,149.971,149.703,12.8886,12.6116,19.7008,32.4575,254.707,234.293
6,21,149.866,149.431,12.2475,11.8356,18.609,30.652,254.689,244.238
6,22,149.23,148.155,11.9638,11.5399,18.0258,29.7437,253.576,246.384
6,23,145.734,142.32,11.6772,11.4348,17.5542,29.0981,247.53,239.482
6,24,133.436,124.646,10.798,10.8174,16.26,27.1227,226.588,215.723
6,25,108.888,93.7447,8.93209,9.23998,13.4651,22.1823,184.982,172.623
6,26,77.0141,58.2459,6.39111,5.9013,9.61579,15.7637,130.922,122.499
6,27,46.782,28.2946,3.87364,3.56338,5.80081,9.504,79.527,78.1359
6,28,26.6666,11.2872,2.19114,2.02115,3.28563,5.37605,45.3265,45.3297
6,29,14.1968,3.10889,1.1418,1.07173,1.72124,2.81233,24.1391,24.1369
7,0,-0.311514,4.35582,0.34594,0.32095,0.53655,0.868274,0.455993,5.05168
7,1,0.831648,8.16813,0.636515,0.597854,1.02412,1.64013,0.838699,8.3084
7,2,2.91023,14.6527,1.15164,1.09067,1.8529,3.8276,1.65207,14.4032
7,3,6.46651,24.0107,1.97627,3.07356,3.18214,7.47649,2.63611,23.2487
7,4,13.6849,38.8507,3.23466,4.99565,5.2101,14.2113,8.1172,38.2755
7,5,27.0949,60.8549,5.07119,9.82131,8.19477,21.382,21.9905,56.9511
7,6,44.4622,86.2802,7.22556,13.3003,11.6576,29.1789,39.7112,75.9285
7,7,61.4482,108.614,9.10751,16.5726,14.6912,36.1689,53.8411,91.8014
7,8,78.4532,126.032,10.6291,19.506,17.1492,41.9228,67.2655,102.178
7,9,94.3266,137.573,11.6802,22.3026,18.8684,46.3605,81.766,107.545
7,10,108.535,144.037,12.4348,25.496,20.0773,50.089,101.387,111.982
7,11,120.921,147.219,13.0682,29.3336,21.0268,53.2664,129.245,118.919
7,12,131.385,148.565,13.6695,33.075,21.8505,55.0376,163.858,129.172
7,13,139.416,149.025,14.2534,35.0951,22.5706,54.376,197.763,141.495
7,14,144.737,149.246,14.8503,34.0061,23.2118,51.4343,223.808,155.627
7,15,147.733,149.428,15.4954,29.844,23.7812,47.5335,240.196,172.29
7,16,149.155,149.588,16.0933,24.3078,24.1314,43.9629,248.868,191.264
7,17,149.717,149.7,16.3228,19.485,23.9514,41.0312,252.701,210.968
7,18,149.907,149.753,15.6379,16.084,22.8912,38.0668,254.156,228.454
7,19,149.97,149.777,13.9956,13.6767,21.0221,34.641,254.695,241.451
7,20,150,149.794,12.5794,12.1539,19.2761,31.7047,254.9,249.096
7,21,149.998,149.781,11.962,11.3823,18.1235,29.7664,254.972,252.49
7,22,149.969,149.625,11.7903,11.142,17.5743,28.8831,254.929,253.571
7,23,149.301,147.724,11.7258,11.1606,17.492,28.8346,253.757,251.799
7,24,143.014,135.469,11.3601,11.0809,17.0448,28.2758,242.995,238.21
